"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.688468870E-1,-4.179477692E-3,-1.303288192E-1,9.270296097E-1,9.361554178E-1
8.738049600E-1,1.445569992E-1,6.258411705E-2,-8.543300629E-1,8.687308870E-1
8.787671990E-1,-1.501350403E-1,2.869882435E-2,-1.197413445E0,1.207130113E0
8.837420950E-1,-2.096824646E-1,-3.058582544E-2,4.008932114E-1,4.534507642E-1
8.887180330E-1,4.566621780E-2,-5.412017554E-2,7.425394058E-1,7.459082826E-1
8.936941260E-1,1.589951515E-1,4.112886637E-2,-5.532646179E-1,5.771245787E-1
8.986578240E-1,1.677975655E-1,-6.350479275E-2,-4.324626923E-2,1.845511351E-1
9.036231890E-1,-1.731257439E-1,-1.787213981E-2,4.486837387E-1,4.812577625E-1
9.085842310E-1,-1.054835320E-1,-1.246903241E-1,-9.638118744E-2,1.896412026E-1
9.135475120E-1,-5.001878738E-2,-7.247343659E-3,-3.782167435E-1,3.815787050E-1
9.185124080E-1,3.390359879E-2,2.136043459E-2,-1.164698601E-1,1.231704124E-1
9.234795950E-1,2.187919617E-2,-5.475261807E-2,2.882132530E-1,2.941826433E-1
9.284476680E-1,3.344917297E-2,-7.563741505E-2,2.859287262E-1,2.976492940E-1
9.334173040E-1,9.948253632E-2,-1.572586596E-2,-1.272320747E-1,1.622716202E-1
9.383851680E-1,2.066183090E-2,-4.643528163E-2,-2.914667130E-2,5.858903553E-2
9.433532930E-1,-1.339702606E-1,-1.527324319E-2,2.847108841E-1,3.150263326E-1
9.483118870E-1,-1.522483826E-1,1.081241369E-1,-3.824486732E-1,4.256023809E-1
9.532714700E-1,-3.429126740E-2,2.022822499E-1,-4.840512276E-1,5.257371877E-1
9.582321990E-1,1.921062469E-1,5.955375731E-3,2.559881210E-1,3.201096605E-1
9.631922510E-1,7.175445557E-2,1.774669439E-2,6.529183388E-1,6.570890382E-1
9.681529290E-1,5.651473999E-2,4.354243726E-2,-4.343986511E-2,8.352772928E-2
9.731148560E-1,-8.167409897E-2,7.168671489E-2,-3.947119713E-1,4.093985635E-1
9.780814700E-1,-3.085708618E-2,9.009438753E-2,-1.897363663E-1,2.122947176E-1
9.830491260E-1,6.704664230E-2,3.825940192E-3,1.323070526E-1,1.483746819E-1
9.880199600E-1,1.282000542E-1,1.533072591E-1,1.668829918E-1,2.603618684E-1
9.929892310E-1,4.156351089E-2,6.409619749E-2,-1.575322151E-1,1.750778306E-1
9.979612620E-1,4.625558853E-2,1.608891785E-1,-9.472417831E-2,1.923475427E-1
1.002922720E0,1.535034180E-2,9.073721617E-2,3.998374939E-1,4.102912343E-1
1.007886210E0,-1.822590828E-1,-2.656874806E-2,2.423853874E-1,3.044256028E-1
1.012849960E0,-2.815723419E-3,1.255012155E-1,-4.174337387E-1,4.359006878E-1
